                  QSO_name     ion       Glon       Glat      v_LSR     logN   hvcflag_1   hvcflag_2   hvcflag_3   hvcflag_4  
               1ES1553+113    CII*    21.9089    43.9642     49.322   13.071           0           0           0           0  
               1ES1553+113    CII*    21.9089    43.9642    -16.632   14.405           0           0           0           0  
               1ES1553+113     CIV    21.9089    43.9642      1.355   14.539           0           0           0           0  
               1ES1553+113    FeII    21.9089    43.9642      52.32     8.63           0           0           0           0  
               1ES1553+113    FeII    21.9089    43.9642    -10.636   14.399           0           0           0           0  
               1ES1553+113      NV    21.9089    43.9642    -16.632   13.956           0           0           0           0  
               1ES1553+113    NiII    21.9089    43.9642     -4.641   14.087           0           0           0           0  
               1ES1553+113     SII    21.9089    43.9642     -4.641   15.426           0           0           0           0  
               1ES1553+113    SiII    21.9089    43.9642     64.312   13.274           0           0           0           0  
               1ES1553+113    SiII    21.9089    43.9642     -7.638   14.736           0           0           0           0  
               1ES1553+113    SiIV    21.9089    43.9642   -112.566   12.336           1           0           0           0  
               1ES1553+113    SiIV    21.9089    43.9642     -7.638   13.997           0           0           0           0  
               1H-2129-624    CII*   331.1426    -42.523     22.932   14.077           0           0           0           0  
               1H-2129-624     CIV   331.1426    -42.523     37.921   14.318           0           0           0           0  
               1H-2129-624    FeII   331.1426    -42.523     16.936    14.13           0           0           0           0  
               1H-2129-624      NV   331.1426    -42.523      10.94   13.612           0           0           0           0  
               1H-2129-624    NiII   331.1426    -42.523     67.901   13.221           0           0           0           0  
               1H-2129-624    NiII   331.1426    -42.523    -16.041   13.562           0           0           0           0  
               1H-2129-624     SII   331.1426    -42.523      7.942   15.346           0           0           0           0  
               1H-2129-624    SiII   331.1426    -42.523      10.94   15.296           0           0           0           0  
               1H-2129-624    SiIV   331.1426    -42.523     28.928   13.686           0           0           0           0  
                1H1613-097    CII*     3.5308    28.4585     -7.456   14.809           0           0           0           0  
                1H1613-097     CIV     3.5308    28.4585     43.509   12.965           0           0           0           0  
                1H1613-097     CIV     3.5308    28.4585     22.523   13.321           0           0           0           0  
                1H1613-097     CIV     3.5308    28.4585   -142.363    14.08           1           0           0           0  
                1H1613-097     CIV     3.5308    28.4585    -19.448    14.34           0           0           0           0  
                1H1613-097      NV     3.5308    28.4585    -28.441   13.439           0           0           0           0  
                1H1613-097    NiII     3.5308    28.4585      13.53   14.072           0           0           0           0  
                1H1613-097     SII     3.5308    28.4585     49.505   14.473           0           0           0           0  
                1H1613-097     SII     3.5308    28.4585      1.538   15.745           0           0           0           0  
                1H1613-097    SiII     3.5308    28.4585   -112.383   13.409           1           0           0           0  
                1H1613-097    SiII     3.5308    28.4585     -4.458   14.954           0           0           0           0  
                1H1613-097    SiIV     3.5308    28.4585   -136.367    13.48           1           0           0           1  
                1H1613-097    SiIV     3.5308    28.4585    -10.454   13.818           0           0           0           0  
   2MASS-J10155924-2748289    CII*   265.6586    23.5932     66.334   13.633           1           0           0           0  
   2MASS-J10155924-2748289    CII*   265.6586    23.5932    -17.608   14.815           0           0           0           0  
