                      QSO    ion       Glon       Glat  weighted_v_LSR  total_logN
              1ES1553+113   CII*    21.9089    43.9642        -13.7108     14.4247
              1ES1553+113    CIV    21.9089    43.9642          1.3550     14.5390
              1ES1553+113   FeII    21.9089    43.9642        -10.6359     14.3990
              1ES1553+113     NV    21.9089    43.9642        -16.6320     13.9560
              1ES1553+113   NiII    21.9089    43.9642         -4.6410     14.0870
              1ES1553+113    SII    21.9089    43.9642         -4.6410     15.4260
              1ES1553+113   SiII    21.9089    43.9642         -5.2375     14.7507
              1ES1553+113   SiIV    21.9089    43.9642         -9.8794     14.0064
              1H-2129-624   CII*   331.1426   -42.5230         22.9320     14.0770
              1H-2129-624    CIV   331.1426   -42.5230         37.9210     14.3180
              1H-2129-624   FeII   331.1426   -42.5230         16.9360     14.1300
              1H-2129-624     NV   331.1426   -42.5230         10.9400     13.6120
              1H-2129-624   NiII   331.1426   -42.5230         10.2500     13.7252
              1H-2129-624    SII   331.1426   -42.5230          7.9420     15.3460
              1H-2129-624   SiII   331.1426   -42.5230         10.9400     15.2960
              1H-2129-624   SiIV   331.1426   -42.5230         28.9280     13.6860
               1H1613-097   CII*     3.5308    28.4585         -7.4560     14.8090
               1H1613-097    CIV     3.5308    28.4585        -55.5233     14.5672
               1H1613-097     NV     3.5308    28.4585        -28.4410     13.4390
               1H1613-097   NiII     3.5308    28.4585         13.5300     14.0720
               1H1613-097    SII     3.5308    28.4585          3.9720     15.7676
               1H1613-097   SiII     3.5308    28.4585         -7.4497     14.9662
               1H1613-097   SiIV     3.5308    28.4585        -50.0778     13.9821
  2MASS-J10155924-2748289   CII*   265.6586    23.5932        -12.4281     14.8427
  2MASS-J10155924-2748289    CIV   265.6586    23.5932         13.5125     14.3262
  2MASS-J10155924-2748289   FeII   265.6586    23.5932          9.3740     15.5870
  2MASS-J10155924-2748289     NV   265.6586    23.5932          6.3760     13.4970
  2MASS-J10155924-2748289    SII   265.6586    23.5932         -0.3873     15.8108
  2MASS-J10155924-2748289   SiII   265.6586    23.5932         35.1312     16.5668
  2MASS-J10155924-2748289   SiIV   265.6586    23.5932          7.4196     13.9824
  2MASX-J01013113+4229356   CII*   124.9137   -20.3398        -45.7238     16.7054
  2MASX-J01013113+4229356    CIV   124.9137   -20.3398        -32.8372     14.2251
  2MASX-J01013113+4229356   FeII   124.9137   -20.3398        -14.2371     12.1204
